	text	is_hate
0	Also, it 's so sad to see so much pre made crap in their grocery buys .	0
1	2056	0
2	I want to know where did Celtic Nation found this picture : Just two girls looks to be portuguese .	0
3	Ive talked to lots of punks about it , and i get the same response from them that i get from  and minorities. i want to hear a more educated opinion	0
4	I am sorry but it is the truth .	0
5	You cant expect those poor underprivilidged  to have to put up with this cold weather .	1
6	Oh I see how it is , Son of the Mist .	0
7	Its only 3300 miles , that s not so bad. >	0
8	We have to get back to our countries being for our race , the same as every other race 's country is for them .	0
9	The new town has a population of approx 150 and ( gasp ) skinheads moved into town .	0
10	Beuthen - Großstadt im oberschlesischen Kohlenrevier - YouTube	0
11	I'm a high school senior .	0
12	I have never accepted any government checks .	0
13	Classic trucker songs YouTube - & #x202a ; Dave Dudley - Diesel Smoke ( 18WoS : PTTM ) & #x202c ; & rlm ; Diesel Smoke another of same song , different video , says the artist was Red Simpson YouTube - & #x202a ; Red Simpson - Diesel smoke , & #x202c ; & rlm ; YouTube - & #x202a ; Red Sovine-Truck Drivin ' Son Of A Gun & #x202c ; & rlm ; Truck Drivin ' Son of a Gun YouTube - & #x202a ; Terry Allen - Amarillo Highway & #x202c ; & rlm ; Amarillo Highway ( slow version , live , with violins ) YouTube - & #x202a ; Robert Earl Keen - Amarillo Highway & #x202c ; & rlm ; Fast rockin ' country version by Robert Earl Keene	0
14	How are you a White Nationalist when you support the foreign occupation of a white country ?	0
15	This man is an idiot .	0
16	Not another promo ) Meet Me at the Footbridge : PLE and the Musicman .	0
17	Militias are too risky with the Feds .	0
18	I'm looking for an intelligent White man with a sense of humor between the ages of 21-32 .	0
19	I think I was my own `` tiger mom '' when in Montessori school ... around age 3 My memories are vague ( cue song ) but Mumsy said they had hoola hoops we sat in and whenever a kid stepped in mine I slapped him/her .	0
20	This is a new version that has not been available before now .	0
21	Any comments are appreciated .	0
22	I eventually came to the conclusion that s behave more like a criminal syndicate than any respectable religion .	1
23	Note no mention of part four .	0
24	I will be reading this while away for Christmas .	0
25	Here is another view of this very thing : Song of Albion There are some really good words of advice for White Nationalists in the last chapter ... should get some people talking .	0
26	The border war moves closer to home : Just another day. . . . : A relaxing evening at home suddenly turns into the pursuit of drug smugglers in my neighborhood My blog. . .	0
27	Ya hey der !	0
28	It 's a good read , and tells the truth .	0
29	Nor poison your body with alcohol ... nor listen to music at a very loud volume ...	0
30	God forbid anyone should promote straight racially loyal hetrosexuality Diablo	1
31	Later I went to get a beer and when I opened the door , yep you guessed it , blood geyser .	0
32	I was born in Canada but my family is 730 + members strong and we are all from Ireland , so the heritage is thick and the pride is strong .	0
33	There was probably a lot more as well , those documents just got ' lost ' .	0
34	I hope that all the security personnel and hangers-on who I saw chasing girls in the Voodoo lounge the other day do n't tell all their friends back in the Bronx about Latvia as a holiday destination !	0
35	Use PM to get in touch .	0
36	The cologne was under the seat .	0
37	I for one plan to hang the last  with the guts of the last capitalist .	1
38	I guess it is the `` Automaidan '' .	0
39	Yes, I have very rarely seen Scandinavian-looking people with  eyes .	0
40	Why punish him for not being good at math when you could use the football field as one of the tools to help improve his math skills ?	0
41	And I thought this was slavic thread let 's continue about slavic countries and heritage , it 's not all about dispute between greece and rep.macedonia , no offence .	0
42	Exactly.	0
43	Save this website in your favorites , and spread it around .	0
44	Those nations are all extremely diverse .	0
45	Well I guess it was bound to happen .	0
46	I 'm 20 and in Vancouver .	0
47	Ive got nothing against it but i prefer one .	0
48	Is it possible that we developed an alcohol tolerance as a way to conquer other tribes ?	0
49	That's because they do n't whore themselves out and end up looking like they 're forty at age 25 .	0
50	A paper plate .	0
51	I 've added you to my AIM but have yet to catch you online .	0
52	My computer got that backdoor tojan virus > . < .	0
53	the school board is completely blinded to the events that go on with their schools ... i contacted them about the boy with the knife n they were never even informed of the situation nor were the authorities called , eventhough that is what the school policy requires in such situations ...	0
54	Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them	1
55	Oh and by the way WECOME TO STROMFRONT 100 % WHITE POWER WAR SKINS 2508	0
56	All there music good .	0
57	The downfall has begun ...	0
58	Since you 're now in college I 'd suggest working on a B.A.E. degree and plan on moving to KS and working in this new school .	0
59	Yes they all know , I have felt this way for year more than I can to think about .	0
60	The site was down for 2 days but is now online again .	0
61	Thanks everybody for your input .	0
62	We occasionally get people like jimmy coming here to SF to `` study '' us .	0
63	As you have just informed me via a PM that you have added me to your ignore list it really is a valueless post is n't it ?	0
64	It 's amazing how the media spin can make it seem other races are minorities when they vastly outnumber us .	0
65	Most of my food is meat and produce .	0
66	Hail to the new King of Norway !	0
67	I'm going to post this one a bit early just in case .	0
68	USA is represented by a negro family and Australia a I have no clue what family .	0
69	This is the first I 've heard about that site ... so I just went and looked around in there a bit .	0
70	I like it so far .	0
